4 , 06/11/2008 15:49:33:419 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 15:49:33:419 , RpDAO , getServiceFeeCount , Service Fee Count = 0
4 , 06/11/2008 15:49:33:419 , RpProcessor , isServiceFeeCalculated , Service fee count for CGPAN = CG200201678TC as on Mon Mar 31 15:49:33 IST 2008
4 , 06/11/2008 15:49:33:419 , RpProcessor , isServiceFeeCalculated , Return value = false
4 , 06/11/2008 15:49:33:419 , RpDAO , calculateServiceFee , Service Fee Rate = 0.0
4 , 06/11/2008 15:49:33:419 , RpDAO , calculateServiceFee , Before calling procedure to get outstanding amount
4 , 06/11/2008 15:49:33:419 , RpDAO , getAmountOutstanding , Entering
4 , 06/11/2008 15:49:33:419 , RpDAO , getAmountOutstanding , CGPAN = CG200201678TC
4 , 06/11/2008 15:49:33:419 , RpDAO , getAmountOutstanding , Before executing outstanding details
4 , 06/11/2008 15:49:33:450 , RpDAO , getAmountOutstanding , After executing outstanding details
4 , 06/11/2008 15:49:33:450 , RpDAO , getAmountOutstanding , Outstanding amount = 10000.0
4 , 06/11/2008 15:49:33:450 , RpDAO , calculateServiceFee , After calling procedure to get outstanding amount
4 , 06/11/2008 15:49:33:450 , RpDAO , calculateServiceFee , Amount Outstanding = 10000.0
4 , 06/11/2008 15:49:33:450 , RpDAO , calculateServiceFee , After getting approved amount
4 , 06/11/2008 15:49:33:450 , RpDAO , calculateServiceFee , After getting approved amount:10000.0
4 , 06/11/2008 15:49:33:450 , RpDAO , getCardRate , card rate :0.5
4 , 06/11/2008 15:49:33:450 , RpDAO , getServiceCardRate , Exited
4 , 06/11/2008 15:49:33:450 , RpDAO , getServiceRateForRSF , Exited
4 , 06/11/2008 15:49:33:450 , RpDAO , getCardRate , card rate :0.0
4 , 06/11/2008 15:49:33:450 , RpDAO , getServiceRateForRSF , Exited
4 , 06/11/2008 15:49:33:450 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:49:33:450 , RpDAO , getGuarStartDate , Exited
4 , 06/11/2008 15:49:33:450 , RpDAO , getGuarStartDate , application.getAppRefNo() :null
4 , 06/11/2008 15:49:33:450 , RpDAO , getGuarStartDate , application.getCgpan() :CG200201678TC
4 , 06/11/2008 15:49:33:466 , RpDAO , updateIdForExcess , Exited
4 , 06/11/2008 15:49:33:466 , RpDAO , calculateServiceFee , Days = 1759
4 , 06/11/2008 15:49:33:466 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:49:33:466 , RpDAO , calculateServiceFee , From Date = Sun Apr 01 15:49:33 IST 2007
4 , 06/11/2008 15:49:33:466 , RpDAO , calculateServiceFee , To Date = Mon Mar 31 15:49:33 IST 2008
4 , 06/11/2008 15:49:33:466 , RpDAO , calculateAllServiceFee , After calculating service fee for application:CG200201678TC
4 , 06/11/2008 15:49:33:466 , RpDAO , calculateAllServiceFee , Before calculating service fee for application:CG200300027TC
4 , 06/11/2008 15:49:33:466 , AdminDAO , getParameter , Entered
4 , 06/11/2008 15:49:33:466 , AdminDAO , getParameter , Exited
4 , 06/11/2008 15:49:33:466 , RpDAO , calculateServiceFee , Entering
4 , 06/11/2008 15:49:33:466 , RpDAO , calculateServiceFee , application.getScheme() RSF
4 , 06/11/2008 15:49:33:466 , RpDAO , calculateServiceFee , Current Year = 2008
4 , 06/11/2008 15:49:33:466 , RpDAO , calculateServiceFee , Current Month = 10
4 , 06/11/2008 15:49:33:466 , RpDAO , calculateServiceFee , Current Date = 6
4 , 06/11/2008 15:49:33:466 , RpDAO , calculateServiceFee , As On Date = Mon Mar 31 15:49:33 IST 2008
4 , 06/11/2008 15:49:33:466 , RpDAO , calculateServiceFee , CGPAN = CG200300027TC
4 , 06/11/2008 15:49:33:466 , RpProcessor , isServiceFeeCalculated , Entering
4 , 06/11/2008 15:49:33:466 , RpDAO , getServiceFeeCount , Entering
4 , 06/11/2008 15:49:33:466 , RpDAO , getServiceFeeCount , CGPAN = CG200300027TC
4 , 06/11/2008 15:49:33:466 , RpDAO , getServiceFeeCount , As on date = Mon Mar 31 15:49:33 IST 2008
4 , 06/11/2008 15:49:33:466 , RpDAO , getServiceFeeCount , Establishing connection
4 , 06/11/2008 15:49:33:466 , RpDAO , getServiceFeeCount , Registering output parameter
4 , 06/11/2008 15:49:33:466 , RpDAO , getServiceFeeCount , setting CGPAN = CG200300027TC
4 , 06/11/2008 15:49:33:466 , RpDAO , getServiceFeeCount , setting as on date = 2008-03-31
4 , 06/11/2008 15:49:33:466 , RpDAO , getServiceFeeCount , Registering output parameter for service fee count
4 , 06/11/2008 15:49:33:466 , RpDAO , getServiceFeeCount , Registering output parameter for error messages
4 , 06/11/2008 15:49:33:466 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 15:49:33:512 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 15:49:33:512 , RpDAO , getServiceFeeCount , Service Fee Count = 0
4 , 06/11/2008 15:49:33:512 , RpProcessor , isServiceFeeCalculated , Service fee count for CGPAN = CG200300027TC as on Mon Mar 31 15:49:33 IST 2008
4 , 06/11/2008 15:49:33:512 , RpProcessor , isServiceFeeCalculated , Return value = false
4 , 06/11/2008 15:49:33:512 , RpDAO , calculateServiceFee , Service Fee Rate = 0.0
4 , 06/11/2008 15:49:33:512 , RpDAO , calculateServiceFee , Before calling procedure to get outstanding amount
4 , 06/11/2008 15:49:33:512 , RpDAO , getAmountOutstanding , Entering
4 , 06/11/2008 15:49:33:512 , RpDAO , getAmountOutstanding , CGPAN = CG200300027TC
4 , 06/11/2008 15:49:33:528 , RpDAO , getAmountOutstanding , Before executing outstanding details
4 , 06/11/2008 15:49:33:544 , RpDAO , getAmountOutstanding , After executing outstanding details
4 , 06/11/2008 15:49:33:544 , RpDAO , getAmountOutstanding , Outstanding amount = 40000.0
4 , 06/11/2008 15:49:33:559 , RpDAO , calculateServiceFee , After calling procedure to get outstanding amount
4 , 06/11/2008 15:49:33:559 , RpDAO , calculateServiceFee , Amount Outstanding = 40000.0
4 , 06/11/2008 15:49:33:559 , RpDAO , calculateServiceFee , After getting approved amount
4 , 06/11/2008 15:49:33:559 , RpDAO , calculateServiceFee , After getting approved amount:40000.0
