4 , 06/11/2008 15:39:16:856 , RpDAO , getAmountOutstanding , After executing outstanding details
4 , 06/11/2008 15:39:16:856 , RpDAO , getAmountOutstanding , Outstanding amount = 60000.0
4 , 06/11/2008 15:39:16:856 , RpDAO , calculateServiceFee , After calling procedure to get outstanding amount
4 , 06/11/2008 15:39:16:856 , RpDAO , calculateServiceFee , Amount Outstanding = 60000.0
4 , 06/11/2008 15:39:16:856 , RpDAO , calculateServiceFee , After getting approved amount
4 , 06/11/2008 15:39:16:856 , RpDAO , calculateServiceFee , After getting approved amount:60000.0
4 , 06/11/2008 15:39:16:856 , RpDAO , getCardRate , card rate :0.5
4 , 06/11/2008 15:39:16:856 , RpDAO , getServiceCardRate , Exited
4 , 06/11/2008 15:39:16:856 , RpDAO , getServiceRateForRSF , Exited
4 , 06/11/2008 15:39:16:856 , RpDAO , getCardRate , card rate :0.0
4 , 06/11/2008 15:39:16:856 , RpDAO , getServiceRateForRSF , Exited
4 , 06/11/2008 15:39:16:856 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:39:16:856 , RpDAO , getGuarStartDate , Exited
4 , 06/11/2008 15:39:16:856 , RpDAO , getGuarStartDate , application.getAppRefNo() :null
4 , 06/11/2008 15:39:16:856 , RpDAO , getGuarStartDate , application.getCgpan() :CG200404931TC
4 , 06/11/2008 15:39:16:856 , RpDAO , updateIdForExcess , Exited
4 , 06/11/2008 15:39:16:856 , RpDAO , calculateServiceFee , Days = 1327
4 , 06/11/2008 15:39:16:856 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:39:16:856 , RpDAO , calculateServiceFee , From Date = Sun Apr 01 15:39:16 IST 2007
4 , 06/11/2008 15:39:16:856 , RpDAO , calculateServiceFee , To Date = Mon Mar 31 15:39:16 IST 2008
4 , 06/11/2008 15:39:16:856 , RpDAO , calculateAllServiceFee , After calculating service fee for application:CG200404931TC
4 , 06/11/2008 15:39:16:856 , RpDAO , calculateAllServiceFee , Before calculating service fee for application:CG200404933TC
4 , 06/11/2008 15:39:16:856 , AdminDAO , getParameter , Entered
4 , 06/11/2008 15:39:16:872 , AdminDAO , getParameter , Exited
4 , 06/11/2008 15:39:16:872 , RpDAO , calculateServiceFee , Entering
4 , 06/11/2008 15:39:16:872 , RpDAO , calculateServiceFee , application.getScheme() RSF
4 , 06/11/2008 15:39:16:872 , RpDAO , calculateServiceFee , Current Year = 2008
4 , 06/11/2008 15:39:16:872 , RpDAO , calculateServiceFee , Current Month = 10
4 , 06/11/2008 15:39:16:872 , RpDAO , calculateServiceFee , Current Date = 6
4 , 06/11/2008 15:39:16:872 , RpDAO , calculateServiceFee , As On Date = Mon Mar 31 15:39:16 IST 2008
4 , 06/11/2008 15:39:16:872 , RpDAO , calculateServiceFee , CGPAN = CG200404933TC
4 , 06/11/2008 15:39:16:872 , RpProcessor , isServiceFeeCalculated , Entering
4 , 06/11/2008 15:39:16:872 , RpDAO , getServiceFeeCount , Entering
4 , 06/11/2008 15:39:16:872 , RpDAO , getServiceFeeCount , CGPAN = CG200404933TC
4 , 06/11/2008 15:39:16:872 , RpDAO , getServiceFeeCount , As on date = Mon Mar 31 15:39:16 IST 2008
4 , 06/11/2008 15:39:16:872 , RpDAO , getServiceFeeCount , Establishing connection
4 , 06/11/2008 15:39:16:872 , RpDAO , getServiceFeeCount , Registering output parameter
4 , 06/11/2008 15:39:16:872 , RpDAO , getServiceFeeCount , setting CGPAN = CG200404933TC
4 , 06/11/2008 15:39:16:872 , RpDAO , getServiceFeeCount , setting as on date = 2008-03-31
4 , 06/11/2008 15:39:16:872 , RpDAO , getServiceFeeCount , Registering output parameter for service fee count
4 , 06/11/2008 15:39:16:872 , RpDAO , getServiceFeeCount , Registering output parameter for error messages
4 , 06/11/2008 15:39:16:872 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 15:39:16:919 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 15:39:16:919 , RpDAO , getServiceFeeCount , Service Fee Count = 0
4 , 06/11/2008 15:39:16:919 , RpProcessor , isServiceFeeCalculated , Service fee count for CGPAN = CG200404933TC as on Mon Mar 31 15:39:16 IST 2008
4 , 06/11/2008 15:39:16:919 , RpProcessor , isServiceFeeCalculated , Return value = false
4 , 06/11/2008 15:39:16:919 , RpDAO , calculateServiceFee , Service Fee Rate = 0.0
4 , 06/11/2008 15:39:16:919 , RpDAO , calculateServiceFee , Before calling procedure to get outstanding amount
4 , 06/11/2008 15:39:16:919 , RpDAO , getAmountOutstanding , Entering
4 , 06/11/2008 15:39:16:919 , RpDAO , getAmountOutstanding , CGPAN = CG200404933TC
4 , 06/11/2008 15:39:16:919 , RpDAO , getAmountOutstanding , Before executing outstanding details
4 , 06/11/2008 15:39:16:950 , RpDAO , getAmountOutstanding , After executing outstanding details
4 , 06/11/2008 15:39:16:950 , RpDAO , getAmountOutstanding , Outstanding amount = 100000.0
4 , 06/11/2008 15:39:16:950 , RpDAO , calculateServiceFee , After calling procedure to get outstanding amount
4 , 06/11/2008 15:39:16:950 , RpDAO , calculateServiceFee , Amount Outstanding = 100000.0
4 , 06/11/2008 15:39:16:950 , RpDAO , calculateServiceFee , After getting approved amount
4 , 06/11/2008 15:39:16:950 , RpDAO , calculateServiceFee , After getting approved amount:100000.0
4 , 06/11/2008 15:39:16:950 , RpDAO , getCardRate , card rate :0.5
4 , 06/11/2008 15:39:16:950 , RpDAO , getServiceCardRate , Exited
4 , 06/11/2008 15:39:16:950 , RpDAO , getServiceRateForRSF , Exited
4 , 06/11/2008 15:39:16:966 , RpDAO , getCardRate , card rate :0.0
4 , 06/11/2008 15:39:16:966 , RpDAO , getServiceRateForRSF , Exited
4 , 06/11/2008 15:39:16:966 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:39:16:966 , RpDAO , getGuarStartDate , Exited
4 , 06/11/2008 15:39:16:966 , RpDAO , getGuarStartDate , application.getAppRefNo() :null
4 , 06/11/2008 15:39:16:966 , RpDAO , getGuarStartDate , application.getCgpan() :CG200404933TC
4 , 06/11/2008 15:39:16:966 , RpDAO , updateIdForExcess , Exited
4 , 06/11/2008 15:39:16:966 , RpDAO , calculateServiceFee , Days = 1327
4 , 06/11/2008 15:39:16:966 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:39:16:966 , RpDAO , calculateServiceFee , From Date = Sun Apr 01 15:39:16 IST 2007
4 , 06/11/2008 15:39:16:966 , RpDAO , calculateServiceFee , To Date = Mon Mar 31 15:39:16 IST 2008
4 , 06/11/2008 15:39:16:966 , RpDAO , calculateAllServiceFee , After calculating service fee for application:CG200404933TC
