5 , 16/04/2012 04:41:25:156 , AdminDAO , getRoles , privilege ASSIGN_MODIFY_ROLES_AND_PRIVILEGES
5 , 16/04/2012 04:41:25:157 , AdminDAO , getRoles , privilege ENTER_BUDGET_DETAILS
5 , 16/04/2012 04:41:25:158 , AdminDAO , getRoles , privilege CREATE_MLI_USER
5 , 16/04/2012 04:41:25:161 , AdminDAO , getRoles , privilege MODIFY_COLLECTING_BANK_DETAILS
5 , 16/04/2012 04:41:25:163 , AdminDAO , getRoles , privilege IF_CALCULATE_EXPOSUER
5 , 16/04/2012 04:41:25:164 , AdminDAO , getRoles , privilege APP_STATUS_WISE_REPORT
5 , 16/04/2012 04:41:25:165 , AdminDAO , getRoles , privilege REVIEW_AUDIT_DETAILS
5 , 16/04/2012 04:41:25:166 , AdminDAO , getRoles , privilege GENERATE_CGDAN
5 , 16/04/2012 04:41:25:167 , AdminDAO , getRoles , privilege REGISTER_MLI
5 , 16/04/2012 04:41:25:168 , AdminDAO , getRoles , privilege REGISTER_MCGF
5 , 16/04/2012 04:41:25:169 , AdminDAO , getRoles , privilege IF_UPDATE_MASTER_TABLES
5 , 16/04/2012 04:41:25:170 , AdminDAO , getRoles , privilege REACTIVATE_USER
5 , 16/04/2012 04:41:25:171 , AdminDAO , getRoles , privilege DEFINE_ORGANIZATION_STRUCTURE
5 , 16/04/2012 04:41:25:174 , AdminDAO , getRoles , privilege VIEW_PENDING_PAYMENTS
5 , 16/04/2012 04:41:25:175 , AdminDAO , getRoles , privilege APPROVE_DUPLICATE_APPLICATION
5 , 16/04/2012 04:41:25:176 , AdminDAO , getRoles , privilege GENERATE_EXCESS_VOUCHER
5 , 16/04/2012 04:41:25:178 , AdminDAO , getRoles , privilege INVESTMENT_FULFILLMENT
5 , 16/04/2012 04:41:25:179 , AdminDAO , getRoles , privilege SET_PARTICIPATING_BANK_LIMIT
5 , 16/04/2012 04:41:25:180 , AdminDAO , getRoles , privilege RECEIVE_SUCCESS_FAILURE_MESSAGE
5 , 16/04/2012 04:41:25:181 , AdminDAO , getRoles , privilege MAKE_REQUEST
5 , 16/04/2012 04:41:25:182 , AdminDAO , getRoles , privilege ACTIVATE_MEMBER
5 , 16/04/2012 04:41:25:183 , AdminDAO , getRoles , privilege PLAN_INVESTMENT
5 , 16/04/2012 04:41:25:185 , AdminDAO , getRoles , privilege SHIFT_CGPAN_OR_BORROWER
5 , 16/04/2012 04:41:25:191 , AdminDAO , getRoles , privilege UPLOAD_DOCUMENTS
5 , 16/04/2012 04:41:25:192 , AdminDAO , getRoles , privilege GENERATE_CLDAN
5 , 16/04/2012 04:41:25:193 , AdminDAO , getRoles , privilege GENERATE_SHORT_DAN
5 , 16/04/2012 04:41:25:194 , AdminDAO , getRoles , privilege ADD_INWARD
5 , 16/04/2012 04:41:25:195 , AdminDAO , getRoles , privilege ASSIGN_COLLECTING_BANK
5 , 16/04/2012 04:41:25:196 , AdminDAO , getRoles , privilege RE_ALLOCATE_PAYMENTS
5 , 16/04/2012 04:41:25:197 , AdminDAO , getRoles , privilege DAY_END_PROCESS
5 , 16/04/2012 04:41:25:199 , AdminDAO , getRoles , privilege ADD_SSI_MEMBERS
5 , 16/04/2012 04:41:25:200 , AdminDAO , getRoles , privilege APPROVE_INELIGIBLE_APPLICATION
5 , 16/04/2012 04:41:25:202 , AdminDAO , getRoles , privilege APP_SPECIAL_MESSAGE
5 , 16/04/2012 04:41:25:205 , AdminDAO , getRoles , privilege DEACTIVATE_USER
5 , 16/04/2012 04:41:25:206 , AdminDAO , getRoles , privilege UPDATE_MASTER_TABLE
5 , 16/04/2012 04:41:25:207 , AdminDAO , getRoles , privilege TDS_DETAILS
5 , 16/04/2012 04:41:25:208 , AdminDAO , getRoles , privilege PROJECT_EXPECTED_CLAIMS
5 , 16/04/2012 04:41:25:210 , AdminDAO , getRoles , privilege FORECASTING_DETAILS
5 , 16/04/2012 04:41:25:211 , AdminDAO , getRoles , privilege DEACTIVATE_MEMBER
5 , 16/04/2012 04:41:25:212 , AdminDAO , getRoles , privilege RESET_PASSWORD
5 , 16/04/2012 04:41:25:213 , AdminDAO , getRoles , privilege SET_UPDATE_SUB_SCHEME_PARAMS
5 , 16/04/2012 04:41:25:214 , AdminDAO , getRoles , privilege RISK_CALCULATE_EXPOSUER
5 , 16/04/2012 04:41:25:215 , AdminDAO , getRoles , privilege SETTLEMENT
5 , 16/04/2012 04:41:25:220 , AdminDAO , getRoles , privilege UPDATE_RECOVERY
5 , 16/04/2012 04:41:25:221 , AdminDAO , getRoles , privilege SET_CEILING_FOR_INVESTMENT
5 , 16/04/2012 04:41:25:222 , AdminDAO , getRoles , privilege REGISTER_COLLECTING_BANK
5 , 16/04/2012 04:41:25:223 , AdminDAO , getRoles , privilege WAIVE_SHORT_AMOUNTS
5 , 16/04/2012 04:41:25:224 , AdminDAO , getRoles , privilege OTS_APPROVAL
5 , 16/04/2012 04:41:25:225 , AdminDAO , getRoles , privilege ADD_OUTWARD
5 , 16/04/2012 04:41:25:226 , AdminDAO , getRoles , privilege ADD_PARTICIPATING_BANKS
5 , 16/04/2012 04:41:25:227 , AdminDAO , getRoles , privilege GENERATE_EXPOSURE_REPORT
5 , 16/04/2012 04:41:25:228 , AdminDAO , getRoles , privilege CLAIM_APPROVAL
5 , 16/04/2012 04:41:25:230 , AdminDAO , getRoles , privilege PERIODIC_INFO_APPROVAL
5 , 16/04/2012 04:41:25:234 , AdminDAO , getRoles , privilege BROADCAST_MESSAGE
5 , 16/04/2012 04:41:25:235 , AdminDAO , getRoles , privilege ENTER_INVESTMENT_DETAILS
5 , 16/04/2012 04:41:25:236 , AdminDAO , getRoles , privilege APPLICATION_RE_APPROVAL
5 , 16/04/2012 04:41:25:237 , AdminDAO , getRoles , privilege SPECIAL_REPORTS
5 , 16/04/2012 04:41:25:238 , AdminDAO , getRoles , privilege ENTER_AUDIT_DETAILS
5 , 16/04/2012 04:41:25:239 , AdminDAO , getRoles , privilege MODIFY_COLLECTING_BANK
5 , 16/04/2012 04:41:25:241 , AdminDAO , getRoles , privilege MODIFY_USER_DETAILS
5 , 16/04/2012 04:41:25:242 , AdminDAO , getRoles , privilege APPLICATION_APPROVAL
5 , 16/04/2012 04:41:25:243 , AdminDAO , getRoles , privilege ADD_DONOR_DETAILS
4 , 16/04/2012 04:41:25:253 , AdminDAO , getPrivileges , Exited
4 , 16/04/2012 04:41:25:254 , AdminDAO , getAlerts , Entered
5 , 16/04/2012 04:41:25:276 , AdminDAO , getAlerts , error code and error 0 null
4 , 16/04/2012 04:41:25:283 , AdminDAO , getAlerts , Exited
4 , 16/04/2012 04:41:25:284 , AdminDAO , getMessage , Entered
5 , 16/04/2012 04:41:25:314 , AdminDAO , getMessage , Error code and error 0 null
5 , 16/04/2012 04:41:25:317 , AdminDAO , getMessage , message is null
4 , 16/04/2012 04:41:25:322 , AdminDAO , getMessage , Exited
5 , 16/04/2012 04:41:25:325 , LoginAction , login , message null
5 , 16/04/2012 04:41:25:328 , LoginAction , login , bank id 0000
5 , 16/04/2012 04:41:25:331 , LoginAction , login , zone id 0000
5 , 16/04/2012 04:41:25:334 , LoginAction , login , branch id 0000
5 , 16/04/2012 04:41:25:341 , LoginAction , login , bank Name 
5 , 16/04/2012 04:41:25:344 , LoginAction , login , zone name ---
5 , 16/04/2012 04:41:25:347 , LoginAction , login , branch name ---
5 , 16/04/2012 04:41:25:349 , LoginAction , login , short name CGTSI
4 , 16/04/2012 04:41:25:350 , RegistrationDAO , getMemberDetails , Entered
5 , 16/04/2012 04:41:25:375 , RegistrationDAO , getMemberDetails , error code and error are 0 null
5 , 16/04/2012 04:41:25:382 , RegistrationDAO , getMemberDetails , bank id 0000
5 , 16/04/2012 04:41:25:389 , RegistrationDAO , getMemberDetails , zone id 0000
5 , 16/04/2012 04:41:25:393 , RegistrationDAO , getMemberDetails , branch id 0000
5 , 16/04/2012 04:41:25:396 , RegistrationDAO , getMemberDetails , address MSME Development Center, 7th Floor, Plot No. C - 11, G Block, BKC Bandra (E)
5 , 16/04/2012 04:41:25:399 , RegistrationDAO , getMemberDetails , bank Name CGTMSE
5 , 16/04/2012 04:41:25:403 , RegistrationDAO , getMemberDetails , MCGF N
5 , 16/04/2012 04:41:25:540 , RegistrationDAO , getMemberDetails , support MCGF null
5 , 16/04/2012 04:41:25:541 , RegistrationDAO , getMemberDetails , Dan Delivery [Ljava.lang.String;@1428ffa
4 , 16/04/2012 04:41:25:551 , RegistrationDAO , getMemberDetails , Exited
5 , 16/04/2012 04:41:25:553 , LoginAction , login , before setting...bank id...0000
5 , 16/04/2012 04:41:25:554 , LoginAction , login , Password is Valid
4 , 16/04/2012 04:41:25:555 , LoginAction , login , Exited
4 , 16/04/2012 04:41:28:829 , LoginAction , getMainMenu , Entered
4 , 16/04/2012 04:41:28:833 , LoginAction , setMainMenu , Entered
4 , 16/04/2012 04:41:28:836 , BaseAction , getUserInformation , Entered
5 , 16/04/2012 04:41:28:838 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
