4 , 11/11/2008 18:35:09:591 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:35:09:591 , ApplicationDAO , getPartApplication , Exited. Memory : 8547216
4 , 11/11/2008 18:35:09:591 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:35:09:638 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:35:09:638 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:35:09:638 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:5000.0
4 , 11/11/2008 18:35:09:638 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:5000.0
4 , 11/11/2008 18:35:09:638 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:35:09:638 , ApplicationDAO , getPartApplication , Entered. Memory : 8115912
4 , 11/11/2008 18:35:09:669 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:35:09:669 , ApplicationDAO , getPartApplication , Exited. Memory : 6587328
4 , 11/11/2008 18:35:09:669 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:35:09:716 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:35:09:716 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:35:09:716 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:25000.0
4 , 11/11/2008 18:35:09:716 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:25000.0
4 , 11/11/2008 18:35:09:716 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:35:09:716 , ApplicationDAO , getPartApplication , Entered. Memory : 6168152
4 , 11/11/2008 18:35:09:763 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:35:09:779 , ApplicationDAO , getPartApplication , Exited. Memory : 8581280
4 , 11/11/2008 18:35:09:779 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:35:09:825 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:35:09:825 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:35:09:825 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:6000.0
4 , 11/11/2008 18:35:09:825 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:6000.0
4 , 11/11/2008 18:35:09:825 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:35:09:825 , ApplicationDAO , getPartApplication , Entered. Memory : 8156256
4 , 11/11/2008 18:35:09:857 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:35:09:857 , ApplicationDAO , getPartApplication , Exited. Memory : 6626944
4 , 11/11/2008 18:35:09:857 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:35:09:904 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:35:09:904 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:35:09:904 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:25000.0
4 , 11/11/2008 18:35:09:904 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:25000.0
4 , 11/11/2008 18:35:09:904 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:35:09:904 , ApplicationDAO , getPartApplication , Entered. Memory : 6207160
4 , 11/11/2008 18:35:09:950 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
