5 , 25/10/2012 05:30:05:146 , RegistrationDAO , getMemberDetails , bank Name CGTMSE
5 , 25/10/2012 05:30:05:147 , RegistrationDAO , getMemberDetails , MCGF N
5 , 25/10/2012 05:30:05:149 , RegistrationDAO , getMemberDetails , support MCGF null
5 , 25/10/2012 05:30:05:150 , RegistrationDAO , getMemberDetails , Dan Delivery [Ljava.lang.String;@2f71e2
4 , 25/10/2012 05:30:05:163 , RegistrationDAO , getMemberDetails , Exited
5 , 25/10/2012 05:30:05:164 , LoginAction , login , before setting...bank id...0000
5 , 25/10/2012 05:30:05:165 , LoginAction , login , Password is Valid
4 , 25/10/2012 05:30:05:166 , LoginAction , login , Exited
4 , 25/10/2012 05:30:06:784 , LoginAction , getMainMenu , Entered
4 , 25/10/2012 05:30:06:787 , LoginAction , setMainMenu , Entered
4 , 25/10/2012 05:30:06:790 , BaseAction , getUserInformation , Entered
5 , 25/10/2012 05:30:06:796 , BaseAction , getUserInformation , User id obtained from session is AVSYAM0001
5 , 25/10/2012 05:30:06:798 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@1660e34
4 , 25/10/2012 05:30:06:799 , BaseAction , getUserInformation , Exited
4 , 25/10/2012 05:30:06:998 , LoginAction , setMainMenu , Exited
4 , 25/10/2012 05:30:07:000 , LoginAction , getMainMenu , Exited
4 , 25/10/2012 05:30:22:124 , LoginAction , getSubMenu , Entered
4 , 25/10/2012 05:30:22:133 , LoginAction , setSubMenu , Entered
4 , 25/10/2012 05:30:22:135 , BaseAction , getUserInformation , Entered
5 , 25/10/2012 05:30:22:137 , BaseAction , getUserInformation , User id obtained from session is AVSYAM0001
5 , 25/10/2012 05:30:22:138 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@1660e34
4 , 25/10/2012 05:30:22:140 , BaseAction , getUserInformation , Exited
4 , 25/10/2012 05:30:22:141 , LoginAction , setSubMenu , Exited
4 , 25/10/2012 05:30:22:155 , LoginAction , getSubMenu , Exited
4 , 25/10/2012 05:35:24:084 , LoginAction , login , Entered
4 , 25/10/2012 05:35:24:106 , Registration , updateLoginInformation , Entered
4 , 25/10/2012 05:35:24:175 , Registration , updateLoginInformation , Exited
4 , 25/10/2012 05:35:24:205 , Login , login , Entered
5 , 25/10/2012 05:35:24:209 , Login , login , User id is AVSYAM0001
4 , 25/10/2012 05:35:24:215 , AdminDAO , getParameter , Entered
5 , 25/10/2012 05:35:24:235 , AdminDAO , getParameter , Error Code and Error are 0 null
4 , 25/10/2012 05:35:24:278 , AdminDAO , getParameter , Exited
5 , 25/10/2012 05:35:24:282 , Login , login , Before getting user info
4 , 25/10/2012 05:35:24:289 , AdminDAO , getUserInfo , Entered
5 , 25/10/2012 05:35:24:306 , AdminDAO , getUserInfo , Function executed without error
5 , 25/10/2012 05:35:24:326 , AdminDAO , getUserInfo , Active user
5 , 25/10/2012 05:35:24:328 , AdminDAO , getUserInfo , not first log in
4 , 25/10/2012 05:35:24:341 , AdminDAO , getUserInfo , Exited
5 , 25/10/2012 05:35:24:343 , Login , login , After getting user info
4 , 25/10/2012 05:35:24:356 , AdminDAO , checkValidUserLogin() , Entered!
4 , 25/10/2012 05:35:24:377 , AdminDAO , checkValidUserLogin() , Exited!
5 , 25/10/2012 05:35:24:378 , Login , login , Verify password AVSYAM0001
5 , 25/10/2012 05:35:24:414 , Login , login , firstLogin,passwordReset false false
5 , 25/10/2012 05:35:24:419 , Login , login , last pwd change date, pwd expiry days2012-10-22 15
5 , 25/10/2012 05:35:24:426 , Login , login , addedDate Tue Nov 06 00:00:00 GMT 2012
5 , 25/10/2012 05:35:24:429 , Login , login , pwdChangeExpiry false
4 , 25/10/2012 05:35:24:439 , CommonDAO , updateLastLoginDate , Entered
2 , 25/10/2012 05:35:24:473 , CommonDAO , updateLastLoginDate , Error code and errors are: 0 null
4 , 25/10/2012 05:35:24:480 , CommonDAO , updateLastLoginDate , Exited
4 , 25/10/2012 05:35:24:487 , Login , login , Exited
4 , 25/10/2012 05:35:24:491 , AdminDAO , getPrivileges , Entered
5 , 25/10/2012 05:35:24:521 , AdminDAO , getRoles , privilege APPLICATION_APPROVAL
5 , 25/10/2012 05:35:24:525 , AdminDAO , getRoles , privilege CLAIM_APPROVAL
5 , 25/10/2012 05:35:24:529 , AdminDAO , getRoles , privilege RECEIVE_SUCCESS_FAILURE_MESSAGE
5 , 25/10/2012 05:35:24:534 , AdminDAO , getRoles , privilege ADD_APPLICATION
5 , 25/10/2012 05:35:24:536 , AdminDAO , getRoles , privilege MODIFY_APPLICATION
5 , 25/10/2012 05:35:24:537 , AdminDAO , getRoles , privilege APPROVE_INELIGIBLE_APPLICATION
5 , 25/10/2012 05:35:24:539 , AdminDAO , getRoles , privilege APPROVE_DUPLICATE_APPLICATION
5 , 25/10/2012 05:35:24:540 , AdminDAO , getRoles , privilege APPLICATION_RE_APPROVAL
5 , 25/10/2012 05:35:24:541 , AdminDAO , getRoles , privilege FILE_UPLOAD
5 , 25/10/2012 05:35:24:542 , AdminDAO , getRoles , privilege MODIFY_BORROWER_DETAILS
5 , 25/10/2012 05:35:24:548 , AdminDAO , getRoles , privilege PERIODIC_INFO
5 , 25/10/2012 05:35:24:549 , AdminDAO , getRoles , privilege UPDATE_REPAYMENT_SCHEDULE
5 , 25/10/2012 05:35:24:551 , AdminDAO , getRoles , privilege SHIFT_CGPAN_OR_BORROWER
5 , 25/10/2012 05:35:24:552 , AdminDAO , getRoles , privilege EXPORT_PERIDIC_INFO
5 , 25/10/2012 05:35:24:553 , AdminDAO , getRoles , privilege APPLICATION_CLOSURE
5 , 25/10/2012 05:35:24:555 , AdminDAO , getRoles , privilege ALLOCATE_PAYMENTS
5 , 25/10/2012 05:35:24:556 , AdminDAO , getRoles , privilege VIEW_PENDING_PAYMENTS
5 , 25/10/2012 05:35:24:557 , AdminDAO , getRoles , privilege APPROPRIATE_PAYMENTS
5 , 25/10/2012 05:35:24:558 , AdminDAO , getRoles , privilege RE_ALLOCATE_PAYMENTS
5 , 25/10/2012 05:35:24:559 , AdminDAO , getRoles , privilege GENERATE_SHORT_DAN
5 , 25/10/2012 05:35:24:565 , AdminDAO , getRoles , privilege GENERATE_CGDAN
5 , 25/10/2012 05:35:24:567 , AdminDAO , getRoles , privilege GENERATE_SFDAN
5 , 25/10/2012 05:35:24:568 , AdminDAO , getRoles , privilege GENERATE_CLDAN
5 , 25/10/2012 05:35:24:570 , AdminDAO , getRoles , privilege GENERATE_EXCESS_VOUCHER
5 , 25/10/2012 05:35:24:572 , AdminDAO , getRoles , privilege GENERATE_VOUCHER
5 , 25/10/2012 05:35:24:573 , AdminDAO , getRoles , privilege WAIVE_SHORT_AMOUNTS
5 , 25/10/2012 05:35:24:575 , AdminDAO , getRoles , privilege PRINT_PAY_IN_SLIP
