4 , 11/11/2008 18:16:57:797 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:57:797 , ApplicationDAO , getPartApplication , Entered. Memory : 16669992
4 , 11/11/2008 18:16:57:828 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:57:828 , ApplicationDAO , getPartApplication , Exited. Memory : 15120360
4 , 11/11/2008 18:16:57:828 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:57:875 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:57:891 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:57:891 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:24000.0
4 , 11/11/2008 18:16:57:891 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:24000.0
4 , 11/11/2008 18:16:57:891 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:57:891 , ApplicationDAO , getPartApplication , Entered. Memory : 14689536
4 , 11/11/2008 18:16:57:906 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:57:922 , ApplicationDAO , getPartApplication , Exited. Memory : 13147480
4 , 11/11/2008 18:16:57:922 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:57:969 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:57:969 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:57:969 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:20000.0
4 , 11/11/2008 18:16:57:969 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:20000.0
4 , 11/11/2008 18:16:57:969 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:57:969 , ApplicationDAO , getPartApplication , Entered. Memory : 12743656
4 , 11/11/2008 18:16:58:000 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:58:000 , ApplicationDAO , getPartApplication , Exited. Memory : 11222552
4 , 11/11/2008 18:16:58:000 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:58:047 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:58:047 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:58:047 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:875000.0
4 , 11/11/2008 18:16:58:047 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:875000.0
4 , 11/11/2008 18:16:58:047 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:58:047 , ApplicationDAO , getPartApplication , Entered. Memory : 10817824
4 , 11/11/2008 18:16:58:094 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:58:109 , ApplicationDAO , getPartApplication , Exited. Memory : 8728064
4 , 11/11/2008 18:16:58:109 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:58:156 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:58:156 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:58:156 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:25000.0
4 , 11/11/2008 18:16:58:156 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:25000.0
4 , 11/11/2008 18:16:58:156 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:58:156 , ApplicationDAO , getPartApplication , Entered. Memory : 8329168
4 , 11/11/2008 18:16:58:188 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:58:188 , ApplicationDAO , getPartApplication , Exited. Memory : 6798888
4 , 11/11/2008 18:16:58:188 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:58:235 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:58:235 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:58:235 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:20000.0
4 , 11/11/2008 18:16:58:235 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:20000.0
4 , 11/11/2008 18:16:58:235 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:58:235 , ApplicationDAO , getPartApplication , Entered. Memory : 6387776
4 , 11/11/2008 18:16:58:266 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:58:266 , ApplicationDAO , getPartApplication , Exited. Memory : 4840288
4 , 11/11/2008 18:16:58:266 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:58:313 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:58:328 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:58:328 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:30000.0
4 , 11/11/2008 18:16:58:328 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:30000.0
4 , 11/11/2008 18:16:58:328 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:58:328 , ApplicationDAO , getPartApplication , Entered. Memory : 4452760
4 , 11/11/2008 18:16:58:344 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:58:360 , ApplicationDAO , getPartApplication , Exited. Memory : 2910560
4 , 11/11/2008 18:16:58:360 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:58:406 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:58:406 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:58:406 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:14000.0
4 , 11/11/2008 18:16:58:406 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:14000.0
4 , 11/11/2008 18:16:58:406 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:58:406 , ApplicationDAO , getPartApplication , Entered. Memory : 2492800
4 , 11/11/2008 18:16:58:453 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:58:469 , ApplicationDAO , getPartApplication , Exited. Memory : 5998784
4 , 11/11/2008 18:16:58:485 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:58:547 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:58:547 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:58:547 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:60800.0
4 , 11/11/2008 18:16:58:547 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:60800.0
4 , 11/11/2008 18:16:58:547 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:58:547 , ApplicationDAO , getPartApplication , Entered. Memory : 30314864
4 , 11/11/2008 18:16:58:594 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
