4 , 11/11/2008 16:18:29:099 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 16:18:29:099 , ApplicationDAO , getPartApplication , Exited. Memory : 3792304
4 , 11/11/2008 16:18:29:099 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 16:18:29:146 , AdminDAO , getParameter , Entered
4 , 11/11/2008 16:18:29:146 , AdminDAO , getParameter , Exited
4 , 11/11/2008 16:18:29:146 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:15000.0
4 , 11/11/2008 16:18:29:146 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:15000.0
4 , 11/11/2008 16:18:29:146 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 16:18:29:146 , ApplicationDAO , getPartApplication , Entered. Memory : 3404712
4 , 11/11/2008 16:18:29:178 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 16:18:29:178 , ApplicationDAO , getPartApplication , Exited. Memory : 1860736
4 , 11/11/2008 16:18:29:178 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 16:18:29:224 , AdminDAO , getParameter , Entered
4 , 11/11/2008 16:18:29:224 , AdminDAO , getParameter , Exited
4 , 11/11/2008 16:18:29:224 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:53000.0
4 , 11/11/2008 16:18:29:224 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:53000.0
4 , 11/11/2008 16:18:29:224 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 16:18:29:224 , ApplicationDAO , getPartApplication , Entered. Memory : 1458488
4 , 11/11/2008 16:18:29:271 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 16:18:29:287 , ApplicationDAO , getPartApplication , Exited. Memory : 3059784
4 , 11/11/2008 16:18:29:287 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 16:18:29:334 , AdminDAO , getParameter , Entered
4 , 11/11/2008 16:18:29:334 , AdminDAO , getParameter , Exited
4 , 11/11/2008 16:18:29:334 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:85000.0
4 , 11/11/2008 16:18:29:334 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:85000.0
4 , 11/11/2008 16:18:29:334 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 16:18:29:334 , ApplicationDAO , getPartApplication , Entered. Memory : 2671968
4 , 11/11/2008 16:18:29:381 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 16:18:29:396 , ApplicationDAO , getPartApplication , Exited. Memory : 3817592
4 , 11/11/2008 16:18:29:396 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 16:18:29:443 , AdminDAO , getParameter , Entered
4 , 11/11/2008 16:18:29:443 , AdminDAO , getParameter , Exited
4 , 11/11/2008 16:18:29:443 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:25000.0
4 , 11/11/2008 16:18:29:443 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:25000.0
4 , 11/11/2008 16:18:29:443 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 16:18:29:443 , ApplicationDAO , getPartApplication , Entered. Memory : 3430000
4 , 11/11/2008 16:18:29:475 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 16:18:29:475 , ApplicationDAO , getPartApplication , Exited. Memory : 1884352
4 , 11/11/2008 16:18:29:475 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 16:18:29:521 , AdminDAO , getParameter , Entered
4 , 11/11/2008 16:18:29:521 , AdminDAO , getParameter , Exited
4 , 11/11/2008 16:18:29:521 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:20000.0
4 , 11/11/2008 16:18:29:521 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:20000.0
4 , 11/11/2008 16:18:29:521 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 16:18:29:521 , ApplicationDAO , getPartApplication , Entered. Memory : 1480864
4 , 11/11/2008 16:18:29:568 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 16:18:29:568 , ApplicationDAO , getPartApplication , Exited. Memory : 3054112
4 , 11/11/2008 16:18:29:568 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 16:18:29:615 , AdminDAO , getParameter , Entered
4 , 11/11/2008 16:18:29:631 , AdminDAO , getParameter , Exited
4 , 11/11/2008 16:18:29:631 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:25000.0
4 , 11/11/2008 16:18:29:631 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:25000.0
4 , 11/11/2008 16:18:29:631 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 16:18:29:631 , ApplicationDAO , getPartApplication , Entered. Memory : 2666560
4 , 11/11/2008 16:18:29:678 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 16:18:29:678 , ApplicationDAO , getPartApplication , Exited. Memory : 3811624
4 , 11/11/2008 16:18:29:678 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 16:18:29:725 , AdminDAO , getParameter , Entered
4 , 11/11/2008 16:18:29:725 , AdminDAO , getParameter , Exited
4 , 11/11/2008 16:18:29:725 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:20000.0
4 , 11/11/2008 16:18:29:725 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:20000.0
4 , 11/11/2008 16:18:29:725 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 16:18:29:725 , ApplicationDAO , getPartApplication , Entered. Memory : 3423744
4 , 11/11/2008 16:18:29:756 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 16:18:29:756 , ApplicationDAO , getPartApplication , Exited. Memory : 1878688
4 , 11/11/2008 16:18:29:756 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 16:18:29:803 , AdminDAO , getParameter , Entered
4 , 11/11/2008 16:18:29:818 , AdminDAO , getParameter , Exited
4 , 11/11/2008 16:18:29:818 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:25000.0
4 , 11/11/2008 16:18:29:818 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:25000.0
4 , 11/11/2008 16:18:29:818 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 16:18:29:818 , ApplicationDAO , getPartApplication , Entered. Memory : 1467192
4 , 11/11/2008 16:18:29:865 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 16:18:29:865 , ApplicationDAO , getPartApplication , Exited. Memory : 3048672
4 , 11/11/2008 16:18:29:865 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 16:18:29:912 , AdminDAO , getParameter , Entered
4 , 11/11/2008 16:18:29:912 , AdminDAO , getParameter , Exited
4 , 11/11/2008 16:18:29:912 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:50000.0
4 , 11/11/2008 16:18:29:912 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:50000.0
