4 , 06/11/2008 16:04:32:669 , RpProcessor , isServiceFeeCalculated , Entering
4 , 06/11/2008 16:04:32:669 , RpDAO , getServiceFeeCount , Entering
4 , 06/11/2008 16:04:32:669 , RpDAO , getServiceFeeCount , CGPAN = CG200200912TC
4 , 06/11/2008 16:04:32:669 , RpDAO , getServiceFeeCount , As on date = Mon Mar 31 16:04:32 IST 2008
4 , 06/11/2008 16:04:32:669 , RpDAO , getServiceFeeCount , Establishing connection
4 , 06/11/2008 16:04:32:700 , RpDAO , getServiceFeeCount , Registering output parameter
4 , 06/11/2008 16:04:32:700 , RpDAO , getServiceFeeCount , setting CGPAN = CG200200912TC
4 , 06/11/2008 16:04:32:700 , RpDAO , getServiceFeeCount , setting as on date = 2008-03-31
4 , 06/11/2008 16:04:32:700 , RpDAO , getServiceFeeCount , Registering output parameter for service fee count
4 , 06/11/2008 16:04:32:700 , RpDAO , getServiceFeeCount , Registering output parameter for error messages
4 , 06/11/2008 16:04:32:700 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 16:04:32:762 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 16:04:32:762 , RpDAO , getServiceFeeCount , Service Fee Count = 0
4 , 06/11/2008 16:04:32:762 , RpProcessor , isServiceFeeCalculated , Service fee count for CGPAN = CG200200912TC as on Mon Mar 31 16:04:32 IST 2008
4 , 06/11/2008 16:04:32:762 , RpProcessor , isServiceFeeCalculated , Return value = false
4 , 06/11/2008 16:04:32:762 , RpDAO , calculateServiceFee , Service Fee Rate = 0.0
4 , 06/11/2008 16:04:32:762 , RpDAO , calculateServiceFee , Before calling procedure to get outstanding amount
4 , 06/11/2008 16:04:32:762 , RpDAO , getAmountOutstanding , Entering
4 , 06/11/2008 16:04:32:762 , RpDAO , getAmountOutstanding , CGPAN = CG200200912TC
4 , 06/11/2008 16:04:32:762 , RpDAO , getAmountOutstanding , Before executing outstanding details
4 , 06/11/2008 16:04:32:794 , RpDAO , getAmountOutstanding , After executing outstanding details
4 , 06/11/2008 16:04:32:794 , RpDAO , getAmountOutstanding , Outstanding amount = 87000.0
4 , 06/11/2008 16:04:32:794 , RpDAO , calculateServiceFee , After calling procedure to get outstanding amount
4 , 06/11/2008 16:04:32:794 , RpDAO , calculateServiceFee , Amount Outstanding = 87000.0
4 , 06/11/2008 16:04:32:794 , RpDAO , calculateServiceFee , After getting approved amount
4 , 06/11/2008 16:04:32:794 , RpDAO , calculateServiceFee , After getting approved amount:87000.0
4 , 06/11/2008 16:04:32:794 , RpDAO , getCardRate , card rate :0.5
4 , 06/11/2008 16:04:32:794 , RpDAO , getServiceCardRate , Exited
4 , 06/11/2008 16:04:32:794 , RpDAO , calculateServiceFee , Service Fee Amount = 435.0
4 , 06/11/2008 16:04:32:794 , RpDAO , getGuarStartDate , Exited
4 , 06/11/2008 16:04:32:809 , RpDAO , getGuarStartDate , application.getAppRefNo() :null
4 , 06/11/2008 16:04:32:809 , RpDAO , getGuarStartDate , application.getCgpan() :CG200200912TC
4 , 06/11/2008 16:04:32:809 , RpDAO , updateIdForExcess , Exited
4 , 06/11/2008 16:04:32:809 , RpDAO , calculateServiceFee , Days = 2130
4 , 06/11/2008 16:04:32:809 , RpDAO , calculateServiceFee , Service Fee Amount = 435.0
4 , 06/11/2008 16:04:32:809 , RpDAO , calculateServiceFee , From Date = Sun Apr 01 16:04:32 IST 2007
4 , 06/11/2008 16:04:32:809 , RpDAO , calculateServiceFee , To Date = Mon Mar 31 16:04:32 IST 2008
4 , 06/11/2008 16:04:32:809 , RpDAO , calculateAllServiceFee , After calculating service fee for application:CG200200912TC
4 , 06/11/2008 16:04:32:809 , RpDAO , calculateAllServiceFee , Before calculating service fee for application:CG200201683TC
4 , 06/11/2008 16:04:32:809 , AdminDAO , getParameter , Entered
4 , 06/11/2008 16:04:32:809 , AdminDAO , getParameter , Exited
4 , 06/11/2008 16:04:32:809 , RpDAO , calculateServiceFee , Entering
4 , 06/11/2008 16:04:32:809 , RpDAO , calculateServiceFee , application.getScheme() CGFSI
4 , 06/11/2008 16:04:32:809 , RpDAO , calculateServiceFee , Current Year = 2008
4 , 06/11/2008 16:04:32:809 , RpDAO , calculateServiceFee , Current Month = 10
4 , 06/11/2008 16:04:32:809 , RpDAO , calculateServiceFee , Current Date = 6
4 , 06/11/2008 16:04:32:809 , RpDAO , calculateServiceFee , As On Date = Mon Mar 31 16:04:32 IST 2008
4 , 06/11/2008 16:04:32:809 , RpDAO , calculateServiceFee , CGPAN = CG200201683TC
4 , 06/11/2008 16:04:32:809 , RpProcessor , isServiceFeeCalculated , Entering
4 , 06/11/2008 16:04:32:809 , RpDAO , getServiceFeeCount , Entering
4 , 06/11/2008 16:04:32:809 , RpDAO , getServiceFeeCount , CGPAN = CG200201683TC
4 , 06/11/2008 16:04:32:809 , RpDAO , getServiceFeeCount , As on date = Mon Mar 31 16:04:32 IST 2008
4 , 06/11/2008 16:04:32:809 , RpDAO , getServiceFeeCount , Establishing connection
4 , 06/11/2008 16:04:32:809 , RpDAO , getServiceFeeCount , Registering output parameter
4 , 06/11/2008 16:04:32:809 , RpDAO , getServiceFeeCount , setting CGPAN = CG200201683TC
4 , 06/11/2008 16:04:32:809 , RpDAO , getServiceFeeCount , setting as on date = 2008-03-31
4 , 06/11/2008 16:04:32:809 , RpDAO , getServiceFeeCount , Registering output parameter for service fee count
4 , 06/11/2008 16:04:32:809 , RpDAO , getServiceFeeCount , Registering output parameter for error messages
4 , 06/11/2008 16:04:32:809 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 16:04:32:872 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 16:04:32:872 , RpDAO , getServiceFeeCount , Service Fee Count = 0
4 , 06/11/2008 16:04:32:872 , RpProcessor , isServiceFeeCalculated , Service fee count for CGPAN = CG200201683TC as on Mon Mar 31 16:04:32 IST 2008
4 , 06/11/2008 16:04:32:872 , RpProcessor , isServiceFeeCalculated , Return value = false
4 , 06/11/2008 16:04:32:872 , RpDAO , calculateServiceFee , Service Fee Rate = 0.0
4 , 06/11/2008 16:04:32:872 , RpDAO , calculateServiceFee , Before calling procedure to get outstanding amount
4 , 06/11/2008 16:04:32:872 , RpDAO , getAmountOutstanding , Entering
4 , 06/11/2008 16:04:32:872 , RpDAO , getAmountOutstanding , CGPAN = CG200201683TC
4 , 06/11/2008 16:04:32:872 , RpDAO , getAmountOutstanding , Before executing outstanding details
4 , 06/11/2008 16:04:32:903 , RpDAO , getAmountOutstanding , After executing outstanding details
4 , 06/11/2008 16:04:32:903 , RpDAO , getAmountOutstanding , Outstanding amount = 10000.0
4 , 06/11/2008 16:04:32:903 , RpDAO , calculateServiceFee , After calling procedure to get outstanding amount
4 , 06/11/2008 16:04:32:903 , RpDAO , calculateServiceFee , Amount Outstanding = 10000.0
4 , 06/11/2008 16:04:32:903 , RpDAO , calculateServiceFee , After getting approved amount
4 , 06/11/2008 16:04:32:903 , RpDAO , calculateServiceFee , After getting approved amount:10000.0
4 , 06/11/2008 16:04:32:903 , RpDAO , getCardRate , card rate :0.5
4 , 06/11/2008 16:04:32:903 , RpDAO , getServiceCardRate , Exited
4 , 06/11/2008 16:04:32:903 , RpDAO , calculateServiceFee , Service Fee Amount = 50.0
4 , 06/11/2008 16:04:32:903 , RpDAO , getGuarStartDate , Exited
4 , 06/11/2008 16:04:32:903 , RpDAO , getGuarStartDate , application.getAppRefNo() :null
4 , 06/11/2008 16:04:32:903 , RpDAO , getGuarStartDate , application.getCgpan() :CG200201683TC
4 , 06/11/2008 16:04:32:903 , RpDAO , updateIdForExcess , Exited
4 , 06/11/2008 16:04:32:903 , RpDAO , calculateServiceFee , Days = 1759
4 , 06/11/2008 16:04:32:903 , RpDAO , calculateServiceFee , Service Fee Amount = 50.0
4 , 06/11/2008 16:04:32:903 , RpDAO , calculateServiceFee , From Date = Sun Apr 01 16:04:32 IST 2007
4 , 06/11/2008 16:04:32:903 , RpDAO , calculateServiceFee , To Date = Mon Mar 31 16:04:32 IST 2008
4 , 06/11/2008 16:04:32:903 , RpDAO , calculateAllServiceFee , After calculating service fee for application:CG200201683TC
4 , 06/11/2008 16:04:32:919 , RpDAO , calculateAllServiceFee , Before calculating service fee for application:CG200300012TC
4 , 06/11/2008 16:04:32:919 , AdminDAO , getParameter , Entered
4 , 06/11/2008 16:04:32:919 , AdminDAO , getParameter , Exited
4 , 06/11/2008 16:04:32:919 , RpDAO , calculateServiceFee , Entering
4 , 06/11/2008 16:04:32:919 , RpDAO , calculateServiceFee , application.getScheme() CGFSI
4 , 06/11/2008 16:04:32:919 , RpDAO , calculateServiceFee , Current Year = 2008
4 , 06/11/2008 16:04:32:919 , RpDAO , calculateServiceFee , Current Month = 10
4 , 06/11/2008 16:04:32:919 , RpDAO , calculateServiceFee , Current Date = 6
4 , 06/11/2008 16:04:32:919 , RpDAO , calculateServiceFee , As On Date = Mon Mar 31 16:04:32 IST 2008
4 , 06/11/2008 16:04:32:919 , RpDAO , calculateServiceFee , CGPAN = CG200300012TC
4 , 06/11/2008 16:04:32:919 , RpProcessor , isServiceFeeCalculated , Entering
4 , 06/11/2008 16:04:32:919 , RpDAO , getServiceFeeCount , Entering
4 , 06/11/2008 16:04:32:919 , RpDAO , getServiceFeeCount , CGPAN = CG200300012TC
4 , 06/11/2008 16:04:32:919 , RpDAO , getServiceFeeCount , As on date = Mon Mar 31 16:04:32 IST 2008
4 , 06/11/2008 16:04:32:919 , RpDAO , getServiceFeeCount , Establishing connection
4 , 06/11/2008 16:04:32:919 , RpDAO , getServiceFeeCount , Registering output parameter
4 , 06/11/2008 16:04:32:919 , RpDAO , getServiceFeeCount , setting CGPAN = CG200300012TC
4 , 06/11/2008 16:04:32:919 , RpDAO , getServiceFeeCount , setting as on date = 2008-03-31
4 , 06/11/2008 16:04:32:919 , RpDAO , getServiceFeeCount , Registering output parameter for service fee count
4 , 06/11/2008 16:04:32:919 , RpDAO , getServiceFeeCount , Registering output parameter for error messages
4 , 06/11/2008 16:04:32:919 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 16:04:32:966 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 16:04:32:966 , RpDAO , getServiceFeeCount , Service Fee Count = 0
4 , 06/11/2008 16:04:32:966 , RpProcessor , isServiceFeeCalculated , Service fee count for CGPAN = CG200300012TC as on Mon Mar 31 16:04:32 IST 2008
4 , 06/11/2008 16:04:32:966 , RpProcessor , isServiceFeeCalculated , Return value = false
4 , 06/11/2008 16:04:32:966 , RpDAO , calculateServiceFee , Service Fee Rate = 0.0
4 , 06/11/2008 16:04:32:966 , RpDAO , calculateServiceFee , Before calling procedure to get outstanding amount
4 , 06/11/2008 16:04:32:966 , RpDAO , getAmountOutstanding , Entering
4 , 06/11/2008 16:04:32:966 , RpDAO , getAmountOutstanding , CGPAN = CG200300012TC
4 , 06/11/2008 16:04:32:966 , RpDAO , getAmountOutstanding , Before executing outstanding details
4 , 06/11/2008 16:04:32:997 , RpDAO , getAmountOutstanding , After executing outstanding details
4 , 06/11/2008 16:04:32:997 , RpDAO , getAmountOutstanding , Outstanding amount = 10000.0
4 , 06/11/2008 16:04:32:997 , RpDAO , calculateServiceFee , After calling procedure to get outstanding amount
4 , 06/11/2008 16:04:32:997 , RpDAO , calculateServiceFee , Amount Outstanding = 10000.0
4 , 06/11/2008 16:04:32:997 , RpDAO , calculateServiceFee , After getting approved amount
4 , 06/11/2008 16:04:32:997 , RpDAO , calculateServiceFee , After getting approved amount:10000.0
4 , 06/11/2008 16:04:32:997 , RpDAO , getCardRate , card rate :0.5
4 , 06/11/2008 16:04:32:997 , RpDAO , getServiceCardRate , Exited
4 , 06/11/2008 16:04:32:997 , RpDAO , calculateServiceFee , Service Fee Amount = 50.0
4 , 06/11/2008 16:04:32:997 , RpDAO , getGuarStartDate , Exited
4 , 06/11/2008 16:04:32:997 , RpDAO , getGuarStartDate , application.getAppRefNo() :null
4 , 06/11/2008 16:04:32:997 , RpDAO , getGuarStartDate , application.getCgpan() :CG200300012TC
4 , 06/11/2008 16:04:33:012 , RpDAO , updateIdForExcess , Exited
4 , 06/11/2008 16:04:33:012 , RpDAO , calculateServiceFee , Days = 1878
4 , 06/11/2008 16:04:33:012 , RpDAO , calculateServiceFee , Service Fee Amount = 50.0
4 , 06/11/2008 16:04:33:012 , RpDAO , calculateServiceFee , From Date = Sun Apr 01 16:04:32 IST 2007
4 , 06/11/2008 16:04:33:012 , RpDAO , calculateServiceFee , To Date = Mon Mar 31 16:04:32 IST 2008
4 , 06/11/2008 16:04:33:012 , RpDAO , calculateAllServiceFee , After calculating service fee for application:CG200300012TC
