4 , 06/11/2008 15:54:49:341 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:54:49:341 , RpDAO , calculateServiceFee , From Date = Sun Apr 01 15:54:49 IST 2007
4 , 06/11/2008 15:54:49:341 , RpDAO , calculateServiceFee , To Date = Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:341 , RpDAO , calculateAllServiceFee , After calculating service fee for application:CG200303095TC
4 , 06/11/2008 15:54:49:341 , RpDAO , calculateAllServiceFee , Before calculating service fee for application:CG200303113TC
4 , 06/11/2008 15:54:49:341 , AdminDAO , getParameter , Entered
4 , 06/11/2008 15:54:49:341 , AdminDAO , getParameter , Exited
4 , 06/11/2008 15:54:49:341 , RpDAO , calculateServiceFee , Entering
4 , 06/11/2008 15:54:49:341 , RpDAO , calculateServiceFee , application.getScheme() RSF
4 , 06/11/2008 15:54:49:341 , RpDAO , calculateServiceFee , Current Year = 2008
4 , 06/11/2008 15:54:49:341 , RpDAO , calculateServiceFee , Current Month = 10
4 , 06/11/2008 15:54:49:341 , RpDAO , calculateServiceFee , Current Date = 6
4 , 06/11/2008 15:54:49:341 , RpDAO , calculateServiceFee , As On Date = Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:341 , RpDAO , calculateServiceFee , CGPAN = CG200303113TC
4 , 06/11/2008 15:54:49:341 , RpProcessor , isServiceFeeCalculated , Entering
4 , 06/11/2008 15:54:49:341 , RpDAO , getServiceFeeCount , Entering
4 , 06/11/2008 15:54:49:341 , RpDAO , getServiceFeeCount , CGPAN = CG200303113TC
4 , 06/11/2008 15:54:49:341 , RpDAO , getServiceFeeCount , As on date = Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:341 , RpDAO , getServiceFeeCount , Establishing connection
4 , 06/11/2008 15:54:49:356 , RpDAO , getServiceFeeCount , Registering output parameter
4 , 06/11/2008 15:54:49:356 , RpDAO , getServiceFeeCount , setting CGPAN = CG200303113TC
4 , 06/11/2008 15:54:49:356 , RpDAO , getServiceFeeCount , setting as on date = 2008-03-31
4 , 06/11/2008 15:54:49:356 , RpDAO , getServiceFeeCount , Registering output parameter for service fee count
4 , 06/11/2008 15:54:49:356 , RpDAO , getServiceFeeCount , Registering output parameter for error messages
4 , 06/11/2008 15:54:49:356 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 15:54:49:403 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 15:54:49:403 , RpDAO , getServiceFeeCount , Service Fee Count = 0
4 , 06/11/2008 15:54:49:403 , RpProcessor , isServiceFeeCalculated , Service fee count for CGPAN = CG200303113TC as on Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:403 , RpProcessor , isServiceFeeCalculated , Return value = false
4 , 06/11/2008 15:54:49:403 , RpDAO , calculateServiceFee , Service Fee Rate = 0.0
4 , 06/11/2008 15:54:49:403 , RpDAO , calculateServiceFee , Before calling procedure to get outstanding amount
4 , 06/11/2008 15:54:49:403 , RpDAO , getAmountOutstanding , Entering
4 , 06/11/2008 15:54:49:403 , RpDAO , getAmountOutstanding , CGPAN = CG200303113TC
4 , 06/11/2008 15:54:49:403 , RpDAO , getAmountOutstanding , Before executing outstanding details
4 , 06/11/2008 15:54:49:434 , RpDAO , getAmountOutstanding , After executing outstanding details
4 , 06/11/2008 15:54:49:434 , RpDAO , getAmountOutstanding , Outstanding amount = 10000.0
