5 , 10/05/2012 10:05:37:179 , AdminDAO , getRoles , privilege EXPORT_PERIDIC_INFO
5 , 10/05/2012 10:05:37:182 , AdminDAO , getRoles , privilege EXPORT_CLAIM_FILE
5 , 10/05/2012 10:05:37:184 , AdminDAO , getRoles , privilege FILE_UPLOAD
5 , 10/05/2012 10:05:37:187 , AdminDAO , getRoles , privilege CLAIM_APPROVAL
5 , 10/05/2012 10:05:37:188 , AdminDAO , getRoles , privilege ADD_APPLICATION
5 , 10/05/2012 10:05:37:189 , AdminDAO , getRoles , privilege OTS_REQUEST
5 , 10/05/2012 10:05:37:190 , AdminDAO , getRoles , privilege ALLOCATE_PAYMENTS
5 , 10/05/2012 10:05:37:191 , AdminDAO , getRoles , privilege CLAIM_FIRST_INSTALLMENT
5 , 10/05/2012 10:05:37:192 , AdminDAO , getRoles , privilege UPDATE_REPAYMENT_SCHEDULE
5 , 10/05/2012 10:05:37:197 , AdminDAO , getRoles , privilege PERIODIC_INFO
5 , 10/05/2012 10:05:37:198 , AdminDAO , getRoles , privilege MODIFY_BORROWER_DETAILS
5 , 10/05/2012 10:05:37:199 , AdminDAO , getRoles , privilege CLAIM_SECOND_INSTALLMENT
5 , 10/05/2012 10:05:37:200 , AdminDAO , getRoles , privilege MODIFY_APPLICATION
5 , 10/05/2012 10:05:37:202 , AdminDAO , getRoles , privilege PRINT_PAY_IN_SLIP
5 , 10/05/2012 10:05:37:240 , AdminDAO , getRoles , privilege GENERATE_VOUCHER
5 , 10/05/2012 10:05:37:241 , AdminDAO , getRoles , privilege GENERATE_SFDAN
5 , 10/05/2012 10:05:37:242 , AdminDAO , getRoles , privilege CREATE_CGTSI_USER
5 , 10/05/2012 10:05:37:243 , AdminDAO , getRoles , privilege ENTER_INFLOW_DETAILS
5 , 10/05/2012 10:05:37:244 , AdminDAO , getRoles , privilege IF_REPORT
5 , 10/05/2012 10:05:37:317 , AdminDAO , getRoles , privilege STATEMENT_DETAILS
5 , 10/05/2012 10:05:37:321 , AdminDAO , getRoles , privilege SECURITIZATION
5 , 10/05/2012 10:05:37:324 , AdminDAO , getRoles , privilege ENTER_OUTFLOW_DETAILS
5 , 10/05/2012 10:05:37:326 , AdminDAO , getRoles , privilege LIMIT_SET_UP
5 , 10/05/2012 10:05:37:329 , AdminDAO , getRoles , privilege APPLICATION_CLOSURE
5 , 10/05/2012 10:05:37:342 , AdminDAO , getRoles , privilege ADD_MODIFY_ROLES
5 , 10/05/2012 10:05:37:345 , AdminDAO , getRoles , privilege APPROPRIATE_PAYMENTS
5 , 10/05/2012 10:05:37:349 , AdminDAO , getRoles , privilege SEARCH_DOCUMENTS
5 , 10/05/2012 10:05:37:351 , AdminDAO , getRoles , privilege ASSIGN_MODIFY_ROLES_AND_PRIVILEGES
5 , 10/05/2012 10:05:37:354 , AdminDAO , getRoles , privilege ENTER_BUDGET_DETAILS
5 , 10/05/2012 10:05:37:361 , AdminDAO , getRoles , privilege CREATE_MLI_USER
5 , 10/05/2012 10:05:37:363 , AdminDAO , getRoles , privilege MODIFY_COLLECTING_BANK_DETAILS
5 , 10/05/2012 10:05:37:366 , AdminDAO , getRoles , privilege IF_CALCULATE_EXPOSUER
5 , 10/05/2012 10:05:37:369 , AdminDAO , getRoles , privilege APP_STATUS_WISE_REPORT
5 , 10/05/2012 10:05:37:372 , AdminDAO , getRoles , privilege REVIEW_AUDIT_DETAILS
5 , 10/05/2012 10:05:37:374 , AdminDAO , getRoles , privilege GENERATE_CGDAN
5 , 10/05/2012 10:05:37:378 , AdminDAO , getRoles , privilege REGISTER_MLI
5 , 10/05/2012 10:05:37:381 , AdminDAO , getRoles , privilege REGISTER_MCGF
5 , 10/05/2012 10:05:37:383 , AdminDAO , getRoles , privilege IF_UPDATE_MASTER_TABLES
5 , 10/05/2012 10:05:37:386 , AdminDAO , getRoles , privilege REACTIVATE_USER
5 , 10/05/2012 10:05:37:392 , AdminDAO , getRoles , privilege DEFINE_ORGANIZATION_STRUCTURE
5 , 10/05/2012 10:05:37:395 , AdminDAO , getRoles , privilege VIEW_PENDING_PAYMENTS
5 , 10/05/2012 10:05:37:396 , AdminDAO , getRoles , privilege APPROVE_DUPLICATE_APPLICATION
5 , 10/05/2012 10:05:37:397 , AdminDAO , getRoles , privilege INVESTMENT_FULFILLMENT
5 , 10/05/2012 10:05:37:398 , AdminDAO , getRoles , privilege GENERATE_EXCESS_VOUCHER
5 , 10/05/2012 10:05:37:400 , AdminDAO , getRoles , privilege SET_PARTICIPATING_BANK_LIMIT
5 , 10/05/2012 10:05:37:402 , AdminDAO , getRoles , privilege RECEIVE_SUCCESS_FAILURE_MESSAGE
5 , 10/05/2012 10:05:37:403 , AdminDAO , getRoles , privilege MAKE_REQUEST
5 , 10/05/2012 10:05:37:404 , AdminDAO , getRoles , privilege ACTIVATE_MEMBER
