5 , 04/05/2012 12:28:23:685 , ApplicationProcessor , checkDuplicateApplications , pending 5 checking with pending 6 app ref no 040512000044
5 , 04/05/2012 12:28:23:686 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :040512000044and 030512000496
5 , 04/05/2012 12:28:23:686 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching040512000044
5 , 04/05/2012 12:28:23:687 , ApplicationProcessor , checkDuplicateApplications , pending 5 checking with pending 7 app ref no 040512000496
5 , 04/05/2012 12:28:23:688 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :040512000496and 030512000496
5 , 04/05/2012 12:28:23:689 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching040512000496
5 , 04/05/2012 12:28:23:690 , ApplicationProcessor , checkDuplicateApplications , before checking with Approved Applications
5 , 04/05/2012 12:28:23:691 , ApplicationProcessor , checkDuplicateApplications , pending 6 app ref no 040512000044
5 , 04/05/2012 12:28:23:691 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 0 app ref no 020512000243
5 , 04/05/2012 12:28:23:692 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000243and 040512000044
5 , 04/05/2012 12:28:23:693 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000243
5 , 04/05/2012 12:28:23:694 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 1 app ref no 020512000309
5 , 04/05/2012 12:28:23:695 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000309and 040512000044
5 , 04/05/2012 12:28:23:696 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000309
5 , 04/05/2012 12:28:23:697 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 2 app ref no 020512000328
5 , 04/05/2012 12:28:23:697 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000328and 040512000044
5 , 04/05/2012 12:28:23:698 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000328
5 , 04/05/2012 12:28:23:699 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 3 app ref no 020512000337
5 , 04/05/2012 12:28:23:700 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000337and 040512000044
5 , 04/05/2012 12:28:23:701 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000337
5 , 04/05/2012 12:28:23:702 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 4 app ref no 030512000356
5 , 04/05/2012 12:28:23:703 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :030512000356and 040512000044
5 , 04/05/2012 12:28:23:704 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching030512000356
5 , 04/05/2012 12:28:23:705 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 5 app ref no 030512000496
5 , 04/05/2012 12:28:23:705 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :030512000496and 040512000044
5 , 04/05/2012 12:28:23:706 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching030512000496
5 , 04/05/2012 12:28:23:707 , ApplicationProcessor , checkDuplicateApplications , pending 6 checking with pending 7 app ref no 040512000496
5 , 04/05/2012 12:28:23:708 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :040512000496and 040512000044
5 , 04/05/2012 12:28:23:709 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching040512000496
5 , 04/05/2012 12:28:23:710 , ApplicationProcessor , checkDuplicateApplications , before checking with Approved Applications
5 , 04/05/2012 12:28:23:711 , ApplicationProcessor , checkDuplicateApplications , pending 7 app ref no 040512000496
5 , 04/05/2012 12:28:23:712 , ApplicationProcessor , checkDuplicateApplications , pending 7 checking with pending 0 app ref no 020512000243
5 , 04/05/2012 12:28:23:714 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000243and 040512000496
5 , 04/05/2012 12:28:23:715 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000243
5 , 04/05/2012 12:28:23:716 , ApplicationProcessor , checkDuplicateApplications , pending 7 checking with pending 1 app ref no 020512000309
5 , 04/05/2012 12:28:23:717 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000309and 040512000496
5 , 04/05/2012 12:28:23:718 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000309
5 , 04/05/2012 12:28:23:719 , ApplicationProcessor , checkDuplicateApplications , pending 7 checking with pending 2 app ref no 020512000328
5 , 04/05/2012 12:28:23:720 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000328and 040512000496
5 , 04/05/2012 12:28:23:721 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000328
5 , 04/05/2012 12:28:23:722 , ApplicationProcessor , checkDuplicateApplications , pending 7 checking with pending 3 app ref no 020512000337
5 , 04/05/2012 12:28:23:723 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :020512000337and 040512000496
5 , 04/05/2012 12:28:23:724 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching020512000337
5 , 04/05/2012 12:28:23:725 , ApplicationProcessor , checkDuplicateApplications , pending 7 checking with pending 4 app ref no 030512000356
5 , 04/05/2012 12:28:23:726 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :030512000356and 040512000496
5 , 04/05/2012 12:28:23:727 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching030512000356
5 , 04/05/2012 12:28:23:728 , ApplicationProcessor , checkDuplicateApplications , pending 7 checking with pending 5 app ref no 030512000496
5 , 04/05/2012 12:28:23:729 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :030512000496and 040512000496
5 , 04/05/2012 12:28:23:730 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching030512000496
5 , 04/05/2012 12:28:23:731 , ApplicationProcessor , checkDuplicateApplications , pending 7 checking with pending 6 app ref no 040512000044
5 , 04/05/2012 12:28:23:732 , ApplicationProcessor , checkDuplicateApplications , state and district are not same for :040512000044and 040512000496
5 , 04/05/2012 12:28:23:733 , ApplicationProcessor , checkDuplicateApplications , pending  checking with pending  app ref no not all matching040512000044
4 , 04/05/2012 12:28:23:734 , ApplicationProcessor , checkDuplicateApplications , Exited 
5 , 04/05/2012 12:28:23:735 , ApplicationProcessor , checkDuplicatePath , key 1:001900000000
5 , 04/05/2012 12:28:23:736 , ApplicationProcessor , checkDuplicatePath , Entering wc pending interator..
5 , 04/05/2012 12:28:23:737 , ApplicationProcessor , checkDuplicatePath , pendingApps size :23
5 , 04/05/2012 12:28:23:738 , ApplicationProcessor , checkDuplicatePath , approved not empty..
5 , 04/05/2012 12:28:23:740 , ApplicationProcessor , checkDuplicatePath , key :001900000000
5 , 04/05/2012 12:28:23:741 , ApplicationProcessor , checkDuplicatePath , wcApprovedAppsIterator..
4 , 04/05/2012 12:28:23:742 , ApplicationProcessor , checkDuplicateApplications , Entered 
5 , 04/05/2012 12:28:23:743 , ApplicationProcessor , checkDuplicateApplications , before checking with Approved Applications
5 , 04/05/2012 12:28:23:744 , ApplicationProcessor , checkDuplicateApplications , pending 0 app ref no 020512000310
5 , 04/05/2012 12:28:23:745 , ApplicationProcessor , checkDuplicateApplications , approved 0 app ref no 2306070056
5 , 04/05/2012 12:28:23:746 , ApplicationProcessor , checkDuplicateApplications , pending all not matching : 020512000310
