4 , 09/08/2012 06:11:22:194 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:11:22:196 , ApplicationProcessingAction , getWCMliInfo , Exited
4 , 09/08/2012 06:11:24:137 , LoginAction , getSubMenu , Entered
4 , 09/08/2012 06:11:24:141 , LoginAction , setSubMenu , Entered
4 , 09/08/2012 06:11:24:149 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:11:24:154 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:11:24:158 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:11:24:163 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:11:24:165 , LoginAction , setSubMenu , Exited
4 , 09/08/2012 06:11:24:168 , LoginAction , getSubMenu , Exited
4 , 09/08/2012 06:11:26:110 , ApplicationProcessingAction , getTCMliInfo , Entered
4 , 09/08/2012 06:11:26:135 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:11:26:137 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:11:26:138 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:11:26:139 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:11:26:140 , ApplicationProcessingAction , getTCMliInfo , Exited
4 , 09/08/2012 06:11:28:265 , LoginAction , getMainMenu , Entered
4 , 09/08/2012 06:11:28:267 , LoginAction , setMainMenu , Entered
4 , 09/08/2012 06:11:28:269 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:11:28:274 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:11:28:275 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:11:28:277 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:11:28:280 , LoginAction , setMainMenu , Exited
4 , 09/08/2012 06:11:28:283 , LoginAction , getMainMenu , Exited
4 , 09/08/2012 06:11:28:708 , LoginAction , getMainMenu , Entered
4 , 09/08/2012 06:11:28:711 , LoginAction , setMainMenu , Entered
4 , 09/08/2012 06:11:28:714 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:11:28:723 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:11:28:726 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:11:28:729 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:11:28:734 , LoginAction , setMainMenu , Exited
4 , 09/08/2012 06:11:28:737 , LoginAction , getMainMenu , Exited
4 , 09/08/2012 06:11:49:504 , LoginAction , getMainMenu , Entered
4 , 09/08/2012 06:11:49:506 , LoginAction , setMainMenu , Entered
4 , 09/08/2012 06:11:49:508 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:11:49:510 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:11:49:511 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:11:49:512 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:11:49:513 , LoginAction , setMainMenu , Exited
4 , 09/08/2012 06:11:49:515 , LoginAction , getMainMenu , Exited
4 , 09/08/2012 06:11:50:743 , LoginAction , getSubMenu , Entered
4 , 09/08/2012 06:11:50:746 , LoginAction , setSubMenu , Entered
4 , 09/08/2012 06:11:50:750 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:11:50:753 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:11:50:756 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:11:50:761 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:11:50:765 , LoginAction , setSubMenu , Exited
4 , 09/08/2012 06:11:50:767 , LoginAction , getSubMenu , Exited
4 , 09/08/2012 06:12:08:473 , LoginAction , getMainMenu , Entered
4 , 09/08/2012 06:12:08:477 , LoginAction , setMainMenu , Entered
4 , 09/08/2012 06:12:08:480 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:12:08:485 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:12:08:488 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:12:08:493 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:12:08:495 , LoginAction , setMainMenu , Exited
4 , 09/08/2012 06:12:08:497 , LoginAction , getMainMenu , Exited
4 , 09/08/2012 06:12:10:067 , LoginAction , getSubMenu , Entered
4 , 09/08/2012 06:12:10:071 , LoginAction , setSubMenu , Entered
4 , 09/08/2012 06:12:10:074 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:12:10:077 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:12:10:082 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:12:10:086 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:12:10:088 , LoginAction , setSubMenu , Exited
4 , 09/08/2012 06:12:10:089 , LoginAction , getSubMenu , Exited
4 , 09/08/2012 06:12:11:329 , LoginAction , getMainMenu , Entered
4 , 09/08/2012 06:12:11:336 , LoginAction , setMainMenu , Entered
4 , 09/08/2012 06:12:11:343 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:12:11:346 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:12:11:348 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:12:11:354 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:12:11:355 , LoginAction , setMainMenu , Exited
4 , 09/08/2012 06:12:11:358 , LoginAction , getMainMenu , Exited
4 , 09/08/2012 06:12:12:630 , LoginAction , getSubMenu , Entered
4 , 09/08/2012 06:12:12:635 , LoginAction , setSubMenu , Entered
4 , 09/08/2012 06:12:12:638 , BaseAction , getUserInformation , Entered
