4 , 23/10/2008 16:37:48:889 , RpDAO , getDANDetails , Getting dan id
4 , 23/10/2008 16:37:48:889 , RpDAO , getDANDetails , Getting cgpan
4 , 23/10/2008 16:37:48:889 , RpDAO , getDANDetails , Getting amount raised
4 , 23/10/2008 16:37:48:889 , RpDAO , getDANDetails , Getting penalty
4 , 23/10/2008 16:37:48:905 , RpDAO , getDANDetails , Getting allocated
4 , 23/10/2008 16:37:48:905 , RpDAO , getDANDetails , Getting reason:Already paid vide DD 517876 dated 03/05/2005 for Rs.17500/-
4 , 23/10/2008 16:37:48:905 , RpDAO , getDANDetails , Getting appropriated
4 , 23/10/2008 16:37:48:905 , RpDAO , getDANDetails , Getting appropriated
4 , 23/10/2008 16:37:48:905 , RpDAO , getDANDetails , Getting Bank Id
4 , 23/10/2008 16:37:48:905 , RpDAO , getDANDetails , Getting Zone Id
4 , 23/10/2008 16:37:48:905 , RpDAO , getDANDetails , Getting Branch Id
4 , 23/10/2008 16:37:48:905 , RpDAO , getDANDetails , adding demand advice
4 , 23/10/2008 16:37:48:905 , RpDAO , getDANDetails , After adding demand advice
4 , 23/10/2008 16:37:48:905 , RpDAO , getDANDetails , Getting dan id
4 , 23/10/2008 16:37:48:905 , RpDAO , getDANDetails , Getting cgpan
4 , 23/10/2008 16:37:48:905 , RpDAO , getDANDetails , Getting amount raised
4 , 23/10/2008 16:37:48:905 , RpDAO , getDANDetails , Getting penalty
4 , 23/10/2008 16:37:48:905 , RpDAO , getDANDetails , Getting allocated
4 , 23/10/2008 16:37:48:905 , RpDAO , getDANDetails , Getting reason:Already paid vide DD 517876 dated 03/05/2005 for Rs.17500/-
4 , 23/10/2008 16:37:48:905 , RpDAO , getDANDetails , Getting appropriated
